IDETOR,IDEAPO
01248806K,55327625K
01248967K,27399619H
01249124V,53443017X
01250470Y,72971250R
01250673W,97177167M
01250818D,32061929K
01251089G,33073210S
01251254P,30623583A
01251491S,46776279Y
01251945D,84179282H
01252499B,95691820K
01252586Y,06568652J
01252880R,62943832P
01254365Z,38536181A
01254455N,56453971B
01254600L,98567707B
01254756Z,47976746B
01256092Q,14473856W
01256208V,28037870L
01256725M,50750202N
01257912L,29746203G
01258343J,28628043N
01258660P,50577358J
01258832L,57085652C
01260800D,17333464C
01262782J,01393098B
01263451S,31447296V
01263588Z,64584247V
01263684H,48524842V
01263769B,72323029N
01265583P,50951357D
01267082N,70521061W
01269240P,58164055E
01269469F,23768126H
01270463N,98225056Z
01272037E,58930038J
01272704E,48008707W
01273726D,94086588M
01273926W,92795972B
01274214Z,73849821H
01274343M,30737180A
01276151L,73289228G
01276827M,50676282Z
01277294N,32601446G
01277817Y,41527756Z
01277966V,63628769M
01279684X,13707576J
01280264S,78416218H
01280338C,53345050T
01280391G,87295083D
01281025V,98787622T
01282165F,90040408P
01282649P,44944435C
01283288A,75032380D
01283357A,85860183X
01284146X,95464697T
01284221Q,56519280T
01285356R,49160926J
01286203C,99727134P
01286280M,58957924T
01286806W,59498264R
01287230N,61200703A
01288633N,34846618P
01289210Z,97449042C
01289862E,53387880G
01291008H,96856937G
01293349J,43471545G
01294460C,63773606B
01296595Q,41879424N
01297338T,21377349E
01299888C,60223659E
01302142C,50783288R
01302215R,41680002T
01304133X,34432826D
01304347V,99796996L
01305228R,91118532F
01305593K,05498949V
01306607T,39354360A
01308350H,25620237P
01309981Q,89287313W
01311631X,57372533E
01311732L,43987019W
01313874E,40484267N
01314068D,67055067Q
01315586D,56913506Y
01315831R,94681646F
01315845S,54338940Z
01316095N,33387515W
01316334K,97257648D
01316597P,27666106G
01317114L,51122165L
01318113Y,39177390H
01318226G,94004757P
01321914N,11654702G
01322894A,56029610T
01323330W,72586092R
01324751C,30694857T
01324781G,19622736X
01324846T,71172349E
01326081Q,93180116D
01326448S,08289239Q
01326777E,72394504A
01327896Z,14583662Y
01328228R,85317763E
01328422B,92357476X
01330907N,62334897K
01331307K,21486776S
01331754P,99244306L
01331837E,40012772V
01333594P,70499923R
01334404J,95153406Z
01334521S,83390689A
01336508R,10392354B
01336704J,02634436Q
01337402K,94591647F
01337453A,00284292N
01338871H,33503178K
01339219K,56542404D
01339406R,18168582P
01340084N,09735236A
01341520E,48895226D
01346868B,96801262N
01347321G,80100040X
01347713M,28920779G
01349809P,16812315M
01349887V,32516097P
01351818Q,42190630M
01351897A,86950913B
01352106M,73350265E
01353966W,17728034W
01357165G,53702086F
01357576R,34976425A
01358032C,69291234P
01358119S,48281638S
01358359W,47225347E
01365695R,55861022W
01367100A,41864670R
01367214W,18703104X
01368766J,88876641H
01368792Q,45979965K
01368970X,21444349T
01369247B,72462940Z
01370666G,68032321T
01371241G,11121798X
01373834K,56765260H
01374222H,72319244E
01376307X,21990720Y
01376333J,39929780D
01376909Z,13846883D
01377269Y,66313990E
01377325Q,50919632R
01379308K,54799418D
01381401K,11569360S
01381827X,32952184S
01381997L,73643668Z
01383004Z,98354528L
01384373A,92598199S
01386392K,57756383W
01387249G,46149213N
01388815Y,46787493L
01389477R,12284425X
01390805H,65321775G
01393500E,79552985X
01394021Z,57176352P
01394483Q,39069632S
01394732N,36748746J
01394941Z,12344515R
01396200P,02332930V
01398013G,43524192G
01398859E,44571339F
01399670M,58490642D
01400230J,07195696P
01400463Q,01760294N
01401617C,55085262D
01401945A,25325482K
01402656R,21402548J
01403430Q,33124270S
01404970S,14477575H
01406720V,22471907X
01407076M,53960542N
01408713D,20832845C
01409184C,38550431Q
01409190A,15677354W
01410481Y,32452522M
01410943P,47338539P
01412601X,78046128K
01413778Z,63108862J
01413858W,14284644B
01413962Z,33370818A
01414284Z,23776196S
01414677Q,08992295P
01415408B,79172506C
01416542H,92772492Z
01416774C,67467551H
01418946F,61736274L
01419875Q,92058628R
01420905B,53269903V
01421555V,07313691J
01421884R,88563504A
01423432P,58682923X
01425245G,59277114L
01425655T,25866593B
01426102X,45602750Y
01426257G,47438998A
01426314S,64105348R
01426436E,12519268T
01426860D,27943634Z
01428881Y,10036608Y
01430562P,09002032Q
01431859V,95980322B
01431943D,31627971G
01434330G,66652750S
01434833R,79927386V
01435887C,47991120X
01437554P,89850802Z
01438338X,57156940P
01439294T,29063541M
01439443B,35437500C
01439799E,03616221T
01440336F,22383892Q
01440879K,61966127X
01441027P,08366716Y
01441291L,35072389B
01444296B,75171223R
01446048S,58065066W
01446239E,37162121D
01447113E,10161645S
01448074V,86507849L
01448139J,01566177S
01448482B,94493429E
01448983Y,09758439E
01450384G,24074096L
01451538P,09653070Q
01451970A,00069347W
01454972S,57114212Z
01456215Q,57063142G
01459078G,51970986W
01459391H,92956639T
01461073K,26303041B
01462924D,17116521J
01464194Z,48045675D
01465544F,29704449H
01466990G,52862780V
01467409D,65752283K
01468548K,12448287C
01469517R,74709163B
01470769B,94437717Q
01471225F,42098760C
01471493E,76835399N
01471522M,51191586A
01472239D,29757323S
01472417A,53544514P
01473915Y,49214799C
01474860P,12079429J
01475121Q,36982836D
01475139B,24375637F
01475752A,20855922M
01476595H,57400838Z
01478237G,33201988Q
01479231D,56370606K
01481820E,78193545P
01483883S,87579935Y
01484146W,03692126M
01487252A,18224462K
01487490B,03936696Q
01487810D,17404689Z
01489044R,49162888C
01490018D,16229032W
01490217R,05834243V
01490492T,36379748G
01490877V,16504707E
01490997E,84335768N
01491840Z,53923456W
01492334W,73176020W
01492669S,49701789P
01493253R,68946120D
01493518J,93350747A
01493590Q,56931491M
01493766P,28881431D
01494640P,23470557T
01494688X,50683580K
01495200Q,99097272R
01495564N,19752218W
01496374V,47395014H
01496500M,53464911P
01497281G,86982031X
01498462N,71491212J
01502190Z,72250316W
01502728T,36618955B
01502944D,78969639J
01505172Y,40741790G
01505543D,79435890P
01505559W,03956716A
01512485M,23221938B
01512582X,57837117Y
01513240R,47189119L
01513862W,66187852Q
01513962X,08289075J
01515402R,21636766E
01515633W,55202676P
01516850T,90037691M
01518419M,65179801D
01520274C,42265416H
01520633B,87491151W
01523501G,43856486V
01526366V,10379324E
01527042A,05389917M
01527071D,02165589R
01527500R,69066485S
01528649T,12188539B
01529041R,02858680X
01529607S,09390655P
01531083L,87313616G
01531925X,68137302D
01533517S,32649295J
01533691M,47200208E
01533899Y,35133095C
01534264A,78742372D
01534331R,80119636X
01536507S,02892022W
01538357W,45970614P
01538728M,29368764H
01539057N,57003916A
01539251E,89034175W
01539451S,56768814F
01539923G,94257975L
01540331K,56025044B
01540476M,75503675B
01540776Y,38981846C
01541270V,47349415M
01541755L,34649631Q
01542143Q,35260781X
01543496N,32389231X
01545517D,37806198V
01546772E,33819652S
01547478S,07816403Z
01548031Q,80657677N
01548059K,58745905H
01548295G,30780784E
01549490A,45012913G
01549522N,58891379V
01549854E,65824873T
01550795C,82650642G
01551969K,08784181K
01554620G,80799753V
01554859J,35460092A
01555740C,56810029Y
01555793G,96969479F
01557562W,52057719W
01558088E,76437931F
01558972D,99313859C
01559084Y,68691587V
01559296B,76161873H
01560147B,17286732R
01560548K,82329569B
01561590M,46060591D
01561799F,19662344N
01562372M,06957305N
01563144H,44784763Z
01564105J,89673952B
01564918K,17386639L
01567827D,52567410J
01568288X,38086372M
01568438E,90534791Y
01573374J,66413774D
01573731W,82619922N
01574296S,79981223B
01574565P,55205896P
01575212B,77610249S
01575684T,05687653Y
01575769Q,16850292D
01576177X,00276346R
01576486C,51012947M
01577208Y,02690766L
01578368Q,24982302R
01579140Y,20860218T
01580329E,80358954J
01582100E,92437432H
01582970H,95143965A
01583039H,66933203Y
01583593C,07679091N
01584283C,01377807S
01586331K,14301533H
01587559F,36467960B
01587678B,78884265S
01587826K,50052195D
01588368B,82269517N
01588671S,68765332R
01588809S,06478908S
01588885E,37896552G
01588981A,59541565Q
01589299E,11698881T
01589752S,04023853A
01590040G,81515359R
01591151B,54313715C
01591875E,18324514T
01594190Z,50021047A
01594269R,44330071D
01595298H,00043156P
01597208L,17419309Y
01597730N,06785847L
01598722S,05261866H
01598787B,22561940K
01599464K,28343767Q
01599662N,21496973T
01600824R,33795011F
01603025V,37581367B
01603281C,02522417F
01605034W,21757184N
01605450G,98503012S
01605796M,47400853S
01606480E,60762323A
01607465H,28255259N
01609256S,11800124C
01610995Y,48313591K
01613035E,44601892Q
01613464Z,19371369X
01614153J,34851129B
01615643P,93835663X
01616125F,30963177W
01616197X,04490329Q
01617528F,48143214M
01617875D,30178182C
01619368F,49032579Y
01620003K,78765679V
01620439C,11928051K
01620631M,95098150G
01620888D,90674413H
01621567K,92627289X
01622233C,52281369T
01625765X,88004635B
01626242G,49239540J
01629184W,06522994X
01631956Z,04422864X
01632185J,12029332X
01633163W,42947922E
01633806R,20623270K
01633923A,11720504A
01633936Q,47957483E
01635158L,54131260R
01635767F,99871338W
01636861C,76118306J
01637036B,26497947S
01639749X,19728777K
01645545X,38329964G
01647135J,04645277J
01649313Y,36051390V
01649570X,12021731E
01651169E,13149538R
01651377T,84283697J
01655727A,76813102W
01656895K,44799819M
01657485J,25350166A
01657601Z,50497581T
01659156M,47704129J
01660752Z,16278577M
01660797J,48948305G
01661137P,65682949D
01661515H,90964921J
01661859V,30498029Y
01662231K,34646322L
01662818X,06953966P
01662865B,68172889S
01663447H,21456505N
01664345L,82401817Q
01664660N,11781451T
01666556E,24239987B
01667841L,97158491M
01668891B,36217010Z
01669650B,94099643L
01670701G,19844333W
01670859R,55787746G
01670920Q,95481334P
01673657Q,26687152E
01673703Q,40390586X
01674789K,37057431S
01674928E,90323954X
01675547C,28501432Q
01677019C,03594118T
01678613G,67939590M
01680794T,10700428T
01680959G,63544696C
01682481P,12638176K
01682804D,45797967E
01684301B,96782009X
01685815F,66222538H
01687169G,09349714F
01689487E,14676115E
01690193S,07170673D
01690845T,32582304K
01690890E,69342000J
01690953Q,36805332L
01690996J,41341777J
01693463L,89052170B
01693984B,15160308L
01696263J,88102705D
01699809V,37682205V
01700767D,27842898H
01701520A,59557992K
01701772W,24876895A
01703126E,55785020S
01703507N,92215955P
01704384S,39726344P
01705021P,69645093N
01705229D,47351342T
01706814F,56174995W
01707914A,75340367A
01708520B,32115038T
01708877T,60212233G
01709692X,45150566W
01710457Q,00286377G
01711755A,17296235M
01715568K,79930606V
01716600H,79585023D
01717155K,48475768W
01718088B,44805237H
01718756N,25058641A
01719099X,74761476E
01720324Q,73266837S
01720601V,18255398E
01721194N,44253875N
01721527T,49507513J
01723668W,19842433B
01724649V,41305492E
01729907P,24995341E
01730106T,13235915J
01730204Y,23297501L
01732187B,11386535V
01732972Z,41564238H
01734212N,55211554P
01735349E,10540177J
01737096K,38846302S
01737283R,34620336T
01738119D,46599199A
01738704L,20285894D
01739562A,82359702Z
01741691Q,43464622G
01742432K,07214134T
01742448Z,52612662R
01743090N,44091890Q
01744919R,97145770A
01745745E,42375535J
01748368T,07977162A
01748481K,85772672Z
01748608X,27362856D
01748996F,94693702B
01749986P,21001182C
01750087V,05606842V
01750407S,49732315J
01751665P,95342642Y
01752278T,23286726P
01752931D,87480448V
01753887E,80051449H
01755230P,97066081D
01756916S,38206808J
01757475E,61588023A
01757831X,87288864T
01760807L,31613613K
01762253Q,99640817X
01762274Z,79720003W
01765279Y,42535811W
01765668G,11871764S
01769705Q,26651879P
01769932J,73819095C
01771083Z,72670975Z
01771511M,58495845Z
01772080E,66470084S
01772144V,55161837V
01773461T,32240656S
01773866Z,40810599C
01774465S,25914718C
01774698H,32959726J
01775448D,04586764N
01776120Z,43337151E
01776212Z,00411375C
01777059X,77222956L
01777752J,23441156Q
01777762T,53621281R
01779613B,91957027Z
01780255D,04095918D
01780708W,84121030W
01781245X,53295404B
01781461L,44878155A
01784342W,77472643H
01786044W,91531900L
01787678A,07347332M
01787733N,08186698D
01788251R,80061876A
01788526T,02488350A
01788859B,46088641E
01789006C,24629617K
01790143F,96349729S
01791803B,91097496Q
01792039V,75892243V
01795579S,45225468Q
01798244N,38748109D
01798273H,62414045A
01800159H,34558416L
01800966C,91574225R
01802271Z,59894403B
01802533T,90021848D
01803221K,13953369M
01803344Y,57601774E
01804461L,81491738R
01805603B,16891512J
01805846R,15933683L
01806550S,57061259F
01807691Y,94910113S
01809965A,19368109Q
01810013M,85043110N
01810233H,73838553C
01811805A,84078393F
01811857D,59699229S
01813376X,07835971D
01814289A,37171332C
01815483R,68206841L
01815855M,11037828J
01815876A,25722915Z
01816691J,50499623H
01817583P,80867311R
01819134H,39804335Y
01821527L,71645180L
01821917H,31530930T
01822077V,60547585Q
01822483D,80361372Q
01825508K,33400265X
01830640R,23867869X
01830811B,64163933M
01830905J,78481930L
01831387N,70255054J
01831489E,64215115N
01834632Z,73025624A
01836232G,35103904Q
01836603F,36245943J
01836632J,33759742C
01837330K,35191972V
01839345N,76841901M
01839564R,11470279H
01839753Y,78587775H
01841343D,68516095S
01843926Q,63502567G
01845474T,03812959L
01845711F,88913452Y
01845828D,36355593E
01846685S,16151171L
01847265C,21662561B
01848613B,79971727Z
01849641G,31646442Y
01851028B,45453376V
01852235E,23364230W
01852373E,47712882A
01854693L,00680432T
01855175H,46114449R
01856679G,25251079T
01857110K,24147020X
01858928E,90604737D
01859802E,08289604J
01862070J,12570163L
01862138N,59246722X
01862302S,88135737J
01862581H,04656321V
01864527D,76104923Q
01868377H,86509856W
01868710Y,05835205J
01868833Z,00140063Q
01869138C,30676275W
01870129E,34442552Y
01870990D,30326987S
01871373R,41762983C
01874164D,71672827C
01874326X,69246801B
01874858J,57852433G
01877708B,91262887Z
01878074D,24156681B
01878364T,83275719X
01878629N,60392149Z
01880117M,23851305Y
01880648F,08288406B
01881768T,61311079W
01882293L,95445691S
01882474Q,97434857A
01882713W,79100712D
01883589G,67337013M
01884117A,33500193A
01884175S,83566243K
01887051Q,90075426C
01887199A,09394680P
01888111H,54507150W
01888333X,98404092H
01888635J,11135346B
01890343L,59652473H
01891631L,52379235R
01891731G,66559501P
01893729R,55982538D
01894033Y,65157332B
01894406B,96563397J
01896116L,78427506J
01896265F,65128937K
01899394P,46300136D
01899583J,82685269Q
01900818Y,49873356H
01900910Y,20343914T
01903022W,42237531D
01903178C,06733781W
01903498H,51870417N
01903923Y,67706275W
01903992Y,37979702D
01904211H,35014128D
01905517J,28766732B
01905703S,87165267M
01906455P,26535024Q
01906667J,64590335X
01907351F,17443359K
01907726Z,53276860M
01908973L,63475047S
01911367K,81214641P
01911542N,49008349H
01911909B,63642519R
01912590W,87734032A
01915675M,17931460Q
01916751T,61333800E
01917408J,36270100C
01918670X,74462053J
01919278C,53746288A
01919938J,30502393T
01920329J,13682585T
01920564H,72562316F
01920575Y,55971614X
01920659K,21214512W
01921465E,57793911V
01922225T,73896779X
01922264Q,26203388V
01923198F,45623613P
01923451F,84645268R
01923483Q,30802818E
01926143P,57028509D
01928858D,65754773G
01928971F,85914901B
01930019C,26751109Q
01930344T,60799691L
01930619E,49062581Q
01933480P,07533438H
01933656T,00378226Z
01933853J,53720082V
01935376H,29893973E
01936872L,14610449K
01937564K,20294094K
01939515V,63641952D
01939748C,98864696R
01940048K,15502066C
01941102V,87561840N
01941461P,58517419Z
01941702L,44765791V
01941930V,21059754B
01942186C,05627876Y
01942282R,54896208S
01942442T,93735533E
01945767J,81052506T
01945960E,89133590B
01946107P,63760904M
01947054N,14547292E
01947183A,43137728D
01947266V,76705277R
01947696X,85282713R
01948467E,13205993Z
01949018K,88954996N
01950128G,84040201H
01951047A,01126753Y
01951548K,84088347W
01951981V,35971507J
01953301A,08323127W
01956182D,83531977W
01958648Z,54127562Y
01961329G,94765240L
01962115P,40014658V
01962404K,37008858H
01962486B,07144034G
01962567T,41613709Q
01963112Q,41910170F
